TIME,LATITUDE,LONGITUDE,GLIDER_DEPTH
15/06/2023 00:00:00,72,30,5
16/06/2023 00:01:00,73.5,30,5
17/06/2023 00:02:00,73.75,30,125
18/06/2023 00:03:00,74,30,325
19/06/2023 00:04:00,74.8,30,325
20/06/2023 00:05:00,74.87,30,250
21/06/2023 00:06:00,74.94,30,125
22/06/2023 00:07:00,75,30,5
23/06/2023 00:08:00,75.6,30,5
24/06/2023 00:09:00,75.7,30,50
25/06/2023 00:10:00,75.8,30,100
26/06/2023 00:11:00,76,30,100
27/06/2023 00:12:00,76.1,30,50
28/06/2023 00:13:00,76.2,30,5
29/06/2023 00:14:00,76.4,30,5
30/06/2023 00:15:00,76.5,30,50
01/07/2023 00:16:00,76.6,30,100
02/07/2023 00:17:00,77,30,100
03/07/2023 00:18:00,77.1,30,50
04/07/2023 00:19:00,77.2,30,5
05/07/2023 00:20:00,78,30,5
06/07/2023 00:21:00,78.07,30,75
07/07/2023 00:22:00,78.14,30,175
08/07/2023 00:23:00,78.2,30,225
09/07/2023 00:24:00,78.6,30,225
10/07/2023 00:25:00,78.67,30,175
11/07/2023 00:26:00,78.74,30,75
12/07/2023 00:27:00,78.8,30,5
13/07/2023 00:28:00,79.2,30,5
14/07/2023 00:29:00,79.6,30,125
